Region,Date,Cumulative  Test positive,Expired,Discharged
ICT,2/26/2020,0,0,0
Punjab,2/26/2020,0,0,0
Sindh,2/26/2020,0,0,0
KP,2/26/2020,0,0,0
Balochistan,2/26/2020,0,0,0
AJK,2/26/2020,0,0,0
GB,2/26/2020,0,0,0
ICT,2/27/2020,0,0,0
Punjab,2/27/2020,0,0,0
Sindh,2/27/2020,0,0,0
KP,2/27/2020,0,0,0
Balochistan,2/27/2020,0,0,0
AJK,2/27/2020,0,0,0
GB,2/27/2020,0,0,0
ICT,2/28/2020,0,0,0
Punjab,2/28/2020,0,0,0
Sindh,2/28/2020,0,0,0
KP,2/28/2020,0,0,0
Balochistan,2/28/2020,0,0,0
AJK,2/28/2020,0,0,0
GB,2/28/2020,0,0,0
ICT,2/29/2020,0,0,0
Punjab,2/29/2020,0,0,0
Sindh,2/29/2020,0,0,0
KP,2/29/2020,0,0,0
Balochistan,2/29/2020,0,0,0
AJK,2/29/2020,0,0,0
GB,2/29/2020,0,0,0
ICT,3/1/2020,0,0,0
Punjab,3/1/2020,0,0,0
Sindh,3/1/2020,1,0,0
KP,3/1/2020,0,0,0
Balochistan,3/1/2020,0,0,0
AJK,3/1/2020,0,0,0
GB,3/1/2020,1,0,0
ICT,3/2/2020,0,0,0
Punjab,3/2/2020,0,0,0
Sindh,3/2/2020,1,0,0
KP,3/2/2020,0,0,0
Balochistan,3/2/2020,0,0,0
AJK,3/2/2020,0,0,0
GB,3/2/2020,1,0,0
ICT,3/3/2020,0,0,0
Punjab,3/3/2020,0,0,0
Sindh,3/3/2020,1,0,0
KP,3/3/2020,0,0,0
Balochistan,3/3/2020,0,0,0
AJK,3/3/2020,0,0,0
GB,3/3/2020,1,0,0
ICT,3/4/2020,0,0,0
Punjab,3/4/2020,0,0,0
Sindh,3/4/2020,1,0,0
KP,3/4/2020,0,0,0
Balochistan,3/4/2020,0,0,0
AJK,3/4/2020,0,0,0
GB,3/4/2020,1,0,0
ICT,3/5/2020,0,0,0
Punjab,3/5/2020,0,0,0
Sindh,3/5/2020,1,0,0
KP,3/5/2020,0,0,0
Balochistan,3/5/2020,0,0,0
AJK,3/5/2020,0,0,0
GB,3/5/2020,1,0,0
ICT,3/6/2020,0,0,0
Punjab,3/6/2020,0,0,0
Sindh,3/6/2020,4,0,0
KP,3/6/2020,0,0,0
Balochistan,3/6/2020,0,0,0
AJK,3/6/2020,0,0,0
GB,3/6/2020,2,0,0
ICT,3/7/2020,0,0,0
Punjab,3/7/2020,0,0,0
Sindh,3/7/2020,4,0,0
KP,3/7/2020,0,0,0
Balochistan,3/7/2020,0,0,0
AJK,3/7/2020,0,0,0
GB,3/7/2020,2,0,0
ICT,3/8/2020,0,0,0
Punjab,3/8/2020,0,0,0
Sindh,3/8/2020,6,0,1
KP,3/8/2020,0,0,0
Balochistan,3/8/2020,0,0,0
AJK,3/8/2020,0,0,0
GB,3/8/2020,2,0,0
ICT,3/9/2020,1,0,0
Punjab,3/9/2020,0,0,0
Sindh,3/9/2020,7,0,1
KP,3/9/2020,0,0,0
Balochistan,3/9/2020,0,0,0
AJK,3/9/2020,0,0,0
GB,3/9/2020,2,0,0
ICT,3/10/2020,2,0,0
Punjab,3/10/2020,0,0,0
Sindh,3/10/2020,14,0,1
KP,3/10/2020,0,0,0
Balochistan,3/10/2020,1,0,0
AJK,3/10/2020,0,0,0
GB,3/10/2020,2,0,0
ICT,3/11/2020,2,0,0
Punjab,3/11/2020,0,0,0
Sindh,3/11/2020,14,0,2
KP,3/11/2020,0,0,0
Balochistan,3/11/2020,1,0,0
AJK,3/11/2020,0,0,0
GB,3/11/2020,3,0,0
ICT,3/12/2020,2,0,0
Punjab,3/12/2020,0,0,0
Sindh,3/12/2020,15,0,2
KP,3/12/2020,0,0,0
Balochistan,3/12/2020,1,0,0
AJK,3/12/2020,0,0,0
GB,3/12/2020,3,0,0
ICT,3/13/2020,3,0,0
Punjab,3/13/2020,0,0,0
Sindh,3/13/2020,16,0,3
KP,3/13/2020,0,0,0
Balochistan,3/13/2020,6,0,0
AJK,3/13/2020,0,0,0
GB,3/13/2020,3,0,0
ICT,3/14/2020,4,0,0
Punjab,3/14/2020,0,0,0
Sindh,3/14/2020,18,0,3
KP,3/14/2020,0,0,0
Balochistan,3/14/2020,6,0,0
AJK,3/14/2020,0,0,0
GB,3/14/2020,3,0,0
ICT,3/15/2020,4,0,0
Punjab,3/15/2020,1,0,0
Sindh,3/15/2020,34,0,3
KP,3/15/2020,0,0,0
Balochistan,3/15/2020,5,0,0
AJK,3/15/2020,0,0,0
GB,3/15/2020,3,0,0
Mobile Lab,3/15/2020,6,0,0
ICT,3/16/2020,4,0,1
Punjab,3/16/2020,1,0,0
Sindh,3/16/2020,150,0,3
KP,3/16/2020,15,0,0
Balochistan,3/16/2020,14,0,0
AJK,3/16/2020,0,0,0
GB,3/16/2020,3,0,0
ICT,3/17/2020,8,0,1
Punjab,3/17/2020,26,0,0
Sindh,3/17/2020,172,0,3
KP,3/17/2020,17,0,0
Balochistan,3/17/2020,15,0,0
AJK,3/17/2020,0,0,0
GB,3/17/2020,3,0,0
ICT,3/18/2020,5,0,2
Punjab,3/18/2020,33,0,0
Sindh,3/18/2020,208,0,3
KP,3/18/2020,19,2,0
Balochistan,3/18/2020,23,0,0
AJK,3/18/2020,1,0,0
GB,3/18/2020,13,0,0
ICT,3/19/2020,10,0,2
Punjab,3/19/2020,80,0,0
Sindh,3/19/2020,245,0,3
KP,3/19/2020,23,2,0
Balochistan,3/19/2020,81,0,0
AJK,3/19/2020,1,0,0
GB,3/19/2020,21,0,0
ICT,3/20/2020,11,0,2
Punjab,3/20/2020,96,0,0
Sindh,3/20/2020,253,1,3
KP,3/20/2020,23,2,0
Balochistan,3/20/2020,81,0,0
AJK,3/20/2020,1,0,0
GB,3/20/2020,30,0,0
ICT,3/21/2020,11,0,2
Punjab,3/21/2020,152,0,0
Sindh,3/21/2020,396,1,3
KP,3/21/2020,31,2,0
Balochistan,3/21/2020,104,0,0
AJK,3/21/2020,1,0,0
GB,3/21/2020,55,0,0
ICT,3/22/2020,15,0,2
Punjab,3/22/2020,225,0,0
Sindh,3/22/2020,333,1,4
KP,3/22/2020,31,3,0
Balochistan,3/22/2020,108,1,0
AJK,3/22/2020,1,0,0
GB,3/22/2020,71,0,0
ICT,3/23/2020,15,0,2
Punjab,3/23/2020,249,0,0
Sindh,3/23/2020,394,1,4
KP,3/23/2020,38,3,0
Balochistan,3/23/2020,110,1,0
AJK,3/23/2020,1,0,0
GB,3/23/2020,80,1,0
ICT,3/24/2020,18,0,2
Punjab,3/24/2020,296,1,2
Sindh,3/24/2020,407,1,14
KP,3/24/2020,78,3,0
Balochistan,3/24/2020,110,1,0
AJK,3/24/2020,1,0,0
GB,3/24/2020,81,1,0
ICT,3/25/2020,25,0,2
Punjab,3/25/2020,323,2,3
Sindh,3/25/2020,413,1,14
KP,3/25/2020,80,3,2
Balochistan,3/25/2020,131,1,0
AJK,3/25/2020,1,0,0
GB,3/25/2020,84,1,0
ICT,3/26/2020,25,0,2
Punjab,3/26/2020,408,3,3
Sindh,3/26/2020,417,1,14
KP,3/26/2020,123,3,2
Balochistan,3/26/2020,131,1,0
AJK,3/26/2020,2,0,0
GB,3/26/2020,91,1,2
ICT,3/27/2020,39,0,2
Punjab,3/27/2020,490,5,4
Sindh,3/27/2020,457,1,14
KP,3/27/2020,180,3,2
Balochistan,3/27/2020,133,1,2
AJK,3/27/2020,2,0,0
GB,3/27/2020,107,1,3
ICT,3/28/2020,43,0,2
Punjab,3/28/2020,558,5,4
Sindh,3/28/2020,481,2,14
KP,3/28/2020,188,4,2
Balochistan,3/28/2020,138,1,2
AJK,3/28/2020,2,0,0
GB,3/28/2020,116,1,4
ICT,3/29/2020,51,0,3
Punjab,3/29/2020,593,6,5
Sindh,3/29/2020,508,5,16
KP,3/29/2020,195,5,2
Balochistan,3/29/2020,144,1,2
AJK,3/29/2020,6,0,0
GB,3/29/2020,128,1,4
ICT,3/30/2020,58,0,3
Punjab,3/30/2020,652,9,5
Sindh,3/30/2020,627,7,42
KP,3/30/2020,221,6,2
Balochistan,3/30/2020,153,1,2
AJK,3/30/2020,6,0,0
GB,3/30/2020,148,2,4
ICT,3/31/2020,54,0,3
Punjab,3/31/2020,708,9,5
Sindh,3/31/2020,676,8,51
KP,3/31/2020,253,6,2
Balochistan,3/31/2020,158,1,17
AJK,3/31/2020,6,0,0
GB,3/31/2020,184,2,4
ICT,4/1/2020,62,0,3
Punjab,4/1/2020,845,11,6
Sindh,4/1/2020,743,9,58
KP,4/1/2020,276,8,19
Balochistan,4/1/2020,169,1,17
AJK,4/1/2020,9,0,0
GB,4/1/2020,187,2,4
ICT,4/2/2020,68,0,3
Punjab,4/2/2020,920,11,6
Sindh,4/2/2020,783,11,65
KP,4/2/2020,311,9,30
Balochistan,4/2/2020,169,1,17
AJK,4/2/2020,9,0,0
GB,4/2/2020,190,3,5
AJK,4/3/2020,11,0,0
Balochistan,4/3/2020,175,1,17
GB,4/3/2020,193,3,9
ICT,4/3/2020,75,0,3
KP,4/3/2020,343,11,30
Punjab,4/3/2020,1072,11,6
Sindh,4/3/2020,839,14,65
AJK,4/4/2020,12,0,1
Balochistan,4/4/2020,185,1,17
GB,4/4/2020,206,3,9
ICT,4/4/2020,78,0,3
KP,4/4/2020,372,14,30
Punjab,4/4/2020,1163,12,25
Sindh,4/4/2020,864,15,85
AJK,4/5/2020,15,0,1
Balochistan,4/5/2020,191,1,30
GB,4/5/2020,210,3,13
ICT,4/5/2020,82,0,3
KP,4/5/2020,405,16,62
Punjab,4/5/2020,1493,15,25
Sindh,4/5/2020,881,15,123
AJK,4/6/2020,18,0,1
Balochistan,4/6/2020,202,1,63
GB,4/6/2020,211,3,15
ICT,4/6/2020,83,1,3
KP,4/6/2020,500,17,69
Punjab,4/6/2020,1918,15,25
Sindh,4/6/2020,932,17,253
AJK,4/7/2020,19,0,1
Balochistan,4/7/2020,206,2,75
GB,4/7/2020,212,3,15
ICT,4/7/2020,92,1,3
KP,4/7/2020,527,18,70
Punjab,4/7/2020,2030,16,34
Sindh,4/7/2020,986,18,269
AJK,4/8/2020,28,0,1
Balochistan,4/8/2020,212,2,76
GB,4/8/2020,213,3,96
ICT,4/8/2020,102,1,10
KP,4/8/2020,560,20,74
Punjab,4/8/2020,2171,17,35
Sindh,4/8/2020,1036,20,280
AJK,4/9/2020,33,0,1
Balochistan,4/9/2020,219,2,89
GB,4/9/2020,215,3,111
ICT,4/9/2020,107,1,10
KP,4/9/2020,620,22,128
Punjab,4/9/2020,2279,18,39
Sindh,4/9/2020,1128,21,349
AJK,4/10/2020,34,0,1
Balochistan,4/10/2020,220,2,95
GB,4/10/2020,215,3,125
ICT,4/10/2020,113,1,13
KP,4/10/2020,656,25,131
Punjab,4/10/2020,2336,19,39
Sindh,4/10/2020,1214,22,358
AJK,4/11/2020,35,0,1
Balochistan,4/11/2020,228,2,95
GB,4/11/2020,216,3,146
ICT,4/11/2020,119,1,13
KP,4/11/2020,697,31,142
Punjab,4/11/2020,2425,21,258
Sindh,4/11/2020,1318,28,371
AJK,4/12/2020,40,0,2
Balochistan,4/12/2020,230,2,123
GB,4/12/2020,224,3,149
ICT,4/12/2020,131,1,15
KP,4/12/2020,744,34,145
Punjab,4/12/2020,2594,23,272
Sindh,4/12/2020,1411,30,389
AJK,4/13/2020,43,0,4
Balochistan,4/13/2020,231,2,124
GB,4/13/2020,233,3,155
ICT,4/13/2020,131,1,15
KP,4/13/2020,800,35,153
Punjab,4/13/2020,2826,24,508
Sindh,4/13/2020,1452,31,419
AJK,4/14/2020,46,0,4
Balochistan,4/14/2020,240,2,137
GB,4/14/2020,234,3,175
ICT,4/14/2020,140,1,17
KP,4/14/2020,862,38,178
Punjab,4/14/2020,2945,28,508
Sindh,4/14/2020,1518,35,427
AJK,4/15/2020,46,0,9
Balochistan,4/15/2020,280,3,140
GB,4/15/2020,237,3,178
ICT,4/15/2020,145,1,17
KP,4/15/2020,912,42,191
Punjab,4/15/2020,3217,34,550
Sindh,4/15/2020,1668,41,560
AJK,4/16/2020,46,0,9
Balochistan,4/16/2020,303,5,142
GB,4/16/2020,245,3,183
ICT,4/16/2020,154,1,20
KP,4/16/2020,993,45,205
Punjab,4/16/2020,3276,36,630
Sindh,4/16/2020,2008,45,576
AJK,4/17/2020,48,0,9
Balochistan,4/17/2020,335,5,142
GB,4/17/2020,250,3,192
ICT,4/17/2020,163,1,20
KP,4/17/2020,1077,50,216
Punjab,4/17/2020,3391,37,672
Sindh,4/17/2020,2217,47,581
AJK,4/18/2020,48,0,9
Balochistan,4/18/2020,376,5,144
GB,4/18/2020,257,3,193
ICT,4/18/2020,171,2,20
KP,4/18/2020,1137,60,226
Punjab,4/18/2020,3649,41,684
Sindh,4/18/2020,2355,48,592
AJK,4/19/2020,49,0,10
Balochistan,4/19/2020,432,5,152
GB,4/19/2020,263,3,194
ICT,4/19/2020,181,3,20
KP,4/19/2020,1235,67,267
Punjab,4/19/2020,3721,42,702
Sindh,4/19/2020,2537,56,625
AJK,4/20/2020,50,0,16
Balochistan,4/20/2020,465,6,161
GB,4/20/2020,281,3,195
ICT,4/20/2020,185,3,20
KP,4/20/2020,1276,74,297
Punjab,4/20/2020,4195,45,742
Sindh,4/20/2020,2764,61,635
AJK,4/21/2020,51,0,23
Balochistan,4/21/2020,495,6,167
GB,4/21/2020,283,3,198
ICT,4/21/2020,194,3,26
KP,4/21/2020,1345,80,335
Punjab,4/21/2020,4328,51,742
Sindh,4/21/2020,3053,66,665
AJK,4/22/2020,51,0,23
Balochistan,4/22/2020,552,8,168
GB,4/22/2020,290,3,201
ICT,4/22/2020,204,3,26
KP,4/22/2020,1453,83,414
Punjab,4/22/2020,4590,58,790
Sindh,4/22/2020,3373,69,715
AJK,4/23/2020,55,0,25
Balochistan,4/23/2020,607,8,174
GB,4/23/2020,300,3,212
ICT,4/23/2020,214,3,26
KP,4/23/2020,1541,85,455
Punjab,4/23/2020,4767,65,905
Sindh,4/23/2020,3671,73,730
AJK,4/24/2020,55,0,28
Balochistan,4/24/2020,656,10,176
GB,4/24/2020,307,3,213
ICT,4/24/2020,223,3,29
KP,4/24/2020,1708,89,472
Punjab,4/24/2020,5046,73,1065
Sindh,4/24/2020,4232,78,772
AJK,4/25/2020,55,0,32
Balochistan,4/25/2020,722,11,176
GB,4/25/2020,308,3,216
ICT,4/25/2020,235,3,29
KP,4/25/2020,1793,93,485
Punjab,4/25/2020,5378,81,1126
Sindh,4/25/2020,4232,78,802
AJK,4/26/2020,59,0,35
Balochistan,4/26/2020,781,13,176
GB,4/26/2020,318,3,219
ICT,4/26/2020,245,3,29
KP,4/26/2020,1864,98,515
Punjab,4/26/2020,5446,83,1183
Sindh,4/26/2020,4615,81,872
AJK,4/27/2020,65,0,35
Balochistan,4/27/2020,853,14,176
GB,4/27/2020,320,3,222
ICT,4/27/2020,261,4,36
KP,4/27/2020,1984,104,533
Punjab,4/27/2020,5640,91,1306
Sindh,4/27/2020,4956,85,925
AJK,4/28/2020,65,0,37
Balochistan,4/28/2020,915,14,176
GB,4/28/2020,330,3,224
ICT,4/28/2020,297,4,36
KP,4/28/2020,2160,114,562
Punjab,4/28/2020,5827,100,1427
Sindh,4/28/2020,5291,92,963
AJK,4/29/2020,66,0,37
Balochistan,4/29/2020,978,14,180
GB,4/29/2020,333,3,228
ICT,4/29/2020,313,4,44
KP,4/29/2020,2381,137,614
Punjab,4/29/2020,6061,103,1780
Sindh,4/29/2020,5695,100,1169
AJK,4/30/2020,66,0,43
Balochistan,4/30/2020,1049,14,183
GB,4/30/2020,339,3,248
ICT,4/30/2020,343,4,44
KP,4/30/2020,2627,146,654
Punjab,4/30/2020,6340,106,1921
Sindh,4/30/2020,6053,112,1222
AJK,5/1/2020,66,0,43
Balochistan,5/1/2020,1136,16,183
GB,5/1/2020,340,3,255
ICT,5/1/2020,365,4,44
KP,5/1/2020,2799,161,690
Punjab,5/1/2020,6733,115,2205
Sindh,5/1/2020,6675,118,1295
AJK,5/2/2020,67,0,44
Balochistan,5/2/2020,1172,19,183
GB,5/2/2020,356,3,260
ICT,5/2/2020,393,4,55
KP,5/2/2020,2907,172,728
Punjab,5/2/2020,7106,120,2206
Sindh,5/2/2020,7102,122,1341
AJK,5/3/2020,71,0,44
Balochistan,5/3/2020,1218,21,197
GB,5/3/2020,364,3,260
ICT,5/3/2020,415,4,56
KP,5/3/2020,3129,180,811
Punjab,5/3/2020,7524,124,2667
Sindh,5/3/2020,7465,130,1555
AJK,5/4/2020,71,0,49
Balochistan,5/4/2020,1321,21,197
GB,5/4/2020,372,3,279
ICT,5/4/2020,464,4,56
KP,5/4/2020,3288,185,856
Punjab,5/4/2020,8103,136,2716
Sindh,5/4/2020,7882,137,1629
AJK,5/5/2020,76,0,54
Balochistan,5/5/2020,1495,21,206
GB,5/5/2020,386,3,282
ICT,5/5/2020,485,4,56
KP,5/5/2020,3499,194,875
Punjab,5/5/2020,8420,156,3073
Sindh,5/5/2020,8189,148,1671
AJK,5/6/2020,76,0,57
Balochistan,5/6/2020,1659,22,209
GB,5/6/2020,388,3,288
ICT,5/6/2020,521,4,56
KP,5/6/2020,3712,203,939
Punjab,5/6/2020,9077,175,3184
Sindh,5/6/2020,8640,157,1731
AJK,5/7/2020,78,0,58
Balochistan,5/7/2020,1725,24,209
GB,5/7/2020,394,3,292
ICT,5/7/2020,558,4,72
KP,5/7/2020,3956,209,984
Punjab,5/7/2020,10033,183,4062
Sindh,5/7/2020,9093,171,1853
AJK,5/8/2020,79,0,60
Balochistan,5/8/2020,1876,24,222
GB,5/8/2020,421,3,298
ICT,5/8/2020,609,4,72
KP,5/8/2020,4327,221,1033
Punjab,5/8/2020,10471,191,4131
Sindh,5/8/2020,9691,175,1940
AJK,5/9/2020,86,0,60
Balochistan,5/9/2020,1935,24,242
GB,5/9/2020,430,4,303
ICT,5/9/2020,641,5,72
KP,5/9/2020,4509,234,1086
Punjab,5/9/2020,11093,192,4240
Sindh,5/9/2020,10771,180,2020
AJK,5/10/2020,86,0,64
Balochistan,5/10/2020,2017,26,242
GB,5/10/2020,442,4,304
ICT,5/10/2020,679,6,72
KP,5/10/2020,4669,245,1126
Punjab,5/10/2020,11568,197,4323
Sindh,5/10/2020,11480,189,2081
AJK,5/11/2020,86,1,64
Balochistan,5/11/2020,2061,27,242
GB,5/11/2020,457,4,320
ICT,5/11/2020,716,6,72
KP,5/11/2020,4875,257,1256
Punjab,5/11/2020,11869,211,4452
Sindh,5/11/2020,12017,200,2149
AJK,5/12/2020,88,1,68
Balochistan,5/12/2020,2158,27,256
GB,5/12/2020,475,4,331
ICT,5/12/2020,759,6,92
KP,5/12/2020,5021,267,1305
Punjab,5/12/2020,13225,214,4531
Sindh,5/12/2020,12610,218,2229
AJK,5/13/2020,91,1,69
Balochistan,5/13/2020,2239,27,326
GB,5/13/2020,482,4,337
ICT,5/13/2020,822,6,100
KP,5/13/2020,5252,275,1392
Punjab,5/13/2020,13561,223,4636
Sindh,5/13/2020,13341,234,2835
AJK,5/14/2020,105,1,76
Balochistan,5/14/2020,2310,30,342
GB,5/14/2020,501,4,339
ICT,5/14/2020,866,7,100
KP,5/14/2020,5423,284,1505
Punjab,5/14/2020,13914,234,4720
Sindh,5/14/2020,14099,243,3073
AJK,5/15/2020,108,1,76
Balochistan,5/15/2020,2457,31,383
GB,5/15/2020,518,4,345
ICT,5/15/2020,921,7,100
KP,5/15/2020,5678,291,1613
Punjab,5/15/2020,14201,245,4757
Sindh,5/15/2020,14916,255,3606
AJK,5/16/2020,112,1,77
Balochistan,5/16/2020,2544,36,417
GB,5/16/2020,527,4,348
ICT,5/16/2020,947,7,113
KP,5/16/2020,5847,305,1699
Punjab,5/16/2020,14584,252,4883
Sindh,5/16/2020,15590,268,3804
